#,.,.,.,#,.,.,.,.,.,#,.,#,.,.,.,#,.,.,.,#,.,#,.,.,.,#,.,.,.,.,.,#,.,.,.,#,.,.,.,#,
#,.,#,#,#,.,#,#,#,#,#,.,#,#,#,.,#,.,#,#,#,#,#,.,#,#,#,#,#,#,#,#,#,.,#,.,#,#,#,#, ,
#,.,.,.,#,.,.,.,.,.,.,.,#,.,.,.,#,.,.,.,.,o,#,.,.,.,.,.,.,.,.,.,#,.,#,.,.,.,.,.,#,
#,.,#,.,#,#,#,#,#,#,#,#,#,.,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,.,#,#,#,#,#,#,#,.,#,
#,.,#,.,.,.,.,.,#,.,.,.,.,.,#,.,.,.,.,.,.,.,.,.,#,.,.,.,.,.,#,.,.,.,.,.,.,.,.,.,#,
#,.,#,#,#,.,#,.,#,.,#,#,#,.,#,.,#,.,#,#,#,#,#,.,#,#,#,.,#,.,#,#,#,#,#,#,#,#,#,.,#,
#,.,#,.,.,.,#,.,#,.,#,.,#,.,#,.,#,.,.,.,.,.,#,.,.,.,.,.,#,.,.,.,#,.,.,.,#,.,.,.,#,
 ,#,#,.,#,#,#,#,#,.,#,.,#,.,#,.,#,#,#,#,#,.,#,#,#,#,#,#,#,#,#,.,#,.,#,.,#,.,#,#, ,
#,.,.,.,#,.,.,.,.,.,#,.,#,.,.,.,#,.,.,.,#,.,.,.,.,.,.,.,.,.,#,.,.,.,#,.,#,.,.,.,#,
#,.,#,#,#,.,#,#,#,#,#,.,#,#,#,#,#,.,#,.,#,#,#,#,#,#,#,#,#,.,#,#,#,#,#,.,#,#,#,.,#,
#,.,.,.,.,.,#,.,.,.,.,.,.,.,.,.,.,.,#,.,.,.,.,.,.,.,#,.,.,.,#,.,.,.,.,.,.,.,#,.,#,
#,.,#,#,#,#,#,#,#,#,#,.,#,#,#,#,#,#, ,#,#,#,#,#,#,.,#,.,#,#,#,#,#,#,#,#,#,#,#,.,#,
#,.,#,.,.,.,.,.,.,.,#,.,.,.,.,.,.,.,#,.,.,.,#,.,.,.,#,.,.,.,.,.,.,.,.,.,.,.,.,.,#,
#,.,#,#,#,.,#,#,#,.,#,#,#,#,#,#,#,.,#,.,#,#,#,.,#,#, ,#,#,#,#,#,#,#,#,#,#,#,#,#, ,
#,.,.,.,.,.,#,.,.,.,#,.,.,.,#,.,.,.,#,.,.,.,#,.,.,.,#,.,.,.,.,.,#,.,.,.,.,.,.,.,#,
 ,#,#,#,#,#,#,.,#,#,#,.,#,.,#,.,#,#,#,#,#,.,#,#,#,.,#,#,#,.,#,.,#,.,#,#,#,#,#,.,#,
#,.,.,.,.,.,#,.,#,.,.,.,#,.,#,.,.,.,.,.,#,.,.,.,.,.,#,.,.,.,#,.,#,.,#,.,.,.,.,.,#,
#,.,#,.,#,#,#,.,#,.,#,#,#,.,#,#,#,#,#,.,#,#,#,.,#,#,#,.,#,#,#,.,#,.,#,.,#,#,#,#, ,
#,.,#,.,.,.,.,.,#,.,#,.,#,.,#,.,.,.,#,.,.,.,#,.,#,.,.,.,#,.,#,.,#,.,#,.,.,.,#,.,#,
#,.,#,#,#,#,#,#,#,.,#,.,#,.,#,.,#,.,#,#,#,.,#,.,#,.,#,#,#,.,#,.,#,.,#,#,#,.,#,.,#,
#,.,.,.,.,.,.,.,.,.,#,.,.,.,.,.,#,.,.,.,.,.,#,.,.,.,#,.,.,.,.,.,.,.,#,.,.,.,.,.,#,
 ,#,#,#,#,#,#,#,#,#, ,#,#,#,#,#, ,#,#,#,#,#, ,#,#,#, ,#,#,#,#,#,#,#, ,#,#,#,#,#, ,
